,Smoke point,Energy,^Total,Fatty a.+trans$,Fatty a.+ sat,Fatty a.+mono.+ed$,Fatty a.+poly.+ed$,PUFA 18:2,PUFA 18:3,Vitamin E,Cholesterol 
flaxseed cold pressed,107,884,99.98,0.094,8.976,18.438,67.849,14.327,53.368,0.47,0
rice bran,240,884,100,0,19.7,39.3,35,33.4,1.6,32.3,0
palm,235,884,100,0,49.3,37,9.3,9.1,0.2,15.94,0
sesame salad or cooking,177,884,100,0,14.2,39.7,41.7,41.3,0.3,1.4,0
cottonseed salad or cooking,220,884,100,0,25.9,17.8,51.9,51.5,0.2,35.3,0
grapeseed,216,884,100,0,9.6,16.1,69.9,69.6,0.1,28.8,0
walnut,232,884,100,0,9.1,22.8,63.3,52.9,10.4,0.4,0
almond,221,884,100,0,8.2,69.9,17.4,17.4,0,39.2,0
Fat beef tallow,204,902,100,0,49.8,41.8,4,3.1,0.6,2.7,0
teaseed,,884,100,0,21.1,51.5,23,22.2,0.7,0,0
hazelnut,254,884,100,0,7.4,78,10.2,10.1,0,47.2,0
sunflower high oleic (70% and over),232,884,100,0,9.859,83.689,3.798,3.606,0.192,41.08,0
avocado,270,884,100,0,11.56,70.554,13.486,12.53,0.957,0,0
coconut,204,833,99.1,0.028,82.5,6.31,1.7,1.68,0.02,0.11,0
canola,204,0,94.5,0,6.61,62.6,25.3,17.8,7.45,17.3,0
corn,232,0,94,0,13.4,27.7,52.9,51.9,1.04,22.6,0
soybean,234,0,94.6,0,14.9,22.1,57.6,50.9,6.62,12.2,0
olive extra virgin,163,0,93.7,0,15.4,69.2,9.07,8.4,0.651,0,0
Ghee clarified butter,232,876,99.48,0,61.924,28.732,3.694,2.247,1.447,2.8,0
peanut,232,0,93.4325,0.1725,16.2,57.14,19.92,19.58129,0.3175,15.23,0
sunflower,232,0,93.1873,0.1163,8.991,63.37,20.71,20.55904,0.162925,68.48,0
safflower,254,0,93.2004,0.1294,7.651,71.63,13.79,13.64056,0.1498,45.95,0
olive extra light,200,0,92.9356,0.1156,15.82,66.63,10.37,9.74185,0.6067625,20.88,0
REFINED SUNFLOWER OIL AND EXTRA VIRGIN OLIVE OIL,240,867,93.33,0,13.33,0,0,0,0,0,0
MACADAMIA NUT OIL,210,800,93.33,0,16.67,73.33,3.33,0,0,0,0
LARD,188,923,100,0,46.15,38.46,11.54,0,0,0,0
ORGANIC EXTRA VIRGIN COCONUT OIL,177,800,93.33,0,86.67,0,0,0,0,0,0
